day,hour,minute,sec,round(csec),prn,Lvec,signal level,phase hist
0.0,0.0,3.0,12,59.0,2,0,-0.3847302026213359,-0.00320174819447774
0.0,0.0,3.0,12,59.0,2,1,-0.7379621634530632,-0.0014087258991748216
0.0,0.0,3.0,12,60.0,2,0,-0.3840266895600082,-0.0032034561435066427
0.0,0.0,3.0,12,60.0,2,1,-0.7394521378107827,-0.0014112729460246907
0.0,0.0,3.0,12,61.0,2,0,-0.38341859302126946,-0.0032056351941389823
0.0,0.0,3.0,12,61.0,2,1,-0.7410270823556573,-0.0014136692723048091
0.0,0.0,3.0,12,62.0,2,0,-0.3829027984574848,-0.003208248948471434
0.0,0.0,3.0,12,62.0,2,1,-0.742463995300441,-0.0014157974649975148
0.0,0.0,3.0,12,63.0,2,0,-0.3824909913580471,-0.0032112523845066153
0.0,0.0,3.0,12,63.0,2,1,-0.7437524517728138,-0.0014180882285775476
0.0,0.0,3.0,12,64.0,2,0,-0.38216029421079106,-0.003214492162047687
0.0,0.0,3.0,12,64.0,2,1,-0.7449297997281801,-0.0014205591457592526
0.0,0.0,3.0,12,65.0,2,0,-0.38182319941093756,-0.003217886256109481
0.0,0.0,3.0,12,65.0,2,1,-0.7459289069481081,-0.0014230124498023596
0.0,0.0,3.0,12,66.0,2,0,-0.38140430385464025,-0.0032214632680992537
0.0,0.0,3.0,12,66.0,2,1,-0.7467732307551421,-0.001425272792958388
0.0,0.0,3.0,12,67.0,2,0,-0.3808840022446962,-0.0032251110327854706
0.0,0.0,3.0,12,67.0,2,1,-0.7475237768277829,-0.001426796042256632
0.0,0.0,3.0,12,68.0,2,0,-0.38027580337403677,-0.003228735350478035
0.0,0.0,3.0,12,68.0,2,1,-0.7482271781669197,-0.001427857201836485
0.0,0.0,3.0,12,69.0,2,0,-0.37961605050191666,-0.0032323549666576855
0.0,0.0,3.0,12,69.0,2,1,-0.7488817924215636,-0.0014291600592693248
0.0,0.0,3.0,12,70.0,2,0,-0.37894416952572446,-0.003235937204301644
0.0,0.0,3.0,12,70.0,2,1,-0.7494093216482091,-0.0014307515389367458
0.0,0.0,3.0,12,71.0,2,0,-0.3782171388285813,-0.00323946192601445
